POLISH,ENGLISH
nie,no
to,this
się,myself
w,In
na,on
i,and
że,that
z,with
co,What
jest,is
do,down
tak,Yes
o,about
jak,how
ale,but
a,and
mnie,me
mi,to me
za,behind
ja,I
tym,this
tego,this
go,him
ci,you
po,after
tylko,just
czy,if
tu,here
może,maybe
ma,she
ty,you
cię,you
mam,I have
jesteś,you are
już,already
jeśli,if
dla,for
wiem,I know
coś,something
dobrze,well
więc,so
od,from
teraz,now
pan,Mr
wszystko,all
być,to be
będzie,will be
masz,you have
nic,Thread
tam,over there
mogę,I can
proszę,please
jej,her
są,there are
gdzie,where
kiedy,when
ten,this
on,he
ciebie,you
by,to
sobie,herself
ze,with
był,was
wiesz,you know
bardzo,very
było,was
przez,by
jego,his
ją,I
chcę,want
dlaczego,why
pani,you
jeszcze,still
mój,my
nas,us
żeby,in order to
no,Well
bo,because
chcesz,you want
ich,their
też,also
tutaj,here
naprawdę,really
nigdy,never
mamy,we have
kto,who
możesz,you can
dobra,Okay
przepraszam,sorry
mu,him
gdy,when
muszę,I have to
porządku,order
dziękuję,Thank you
nawet,even
chyba,I guess
domu,home
ona,she
prawda,TRUE
zrobić,to do
była,was
właśnie,exactly
będę,I'll be
zawsze,always
hej,Hi
nim,nimble
nam,U.S
te,these
moja,my
musisz,you have to
je,eat
dzięki,Thanks
bez,without
tej,this
trochę,a bit
ktoś,someone
panie,ladies
jesteśmy,we're
moje,my
powiedzieć,tell
który,which
czas,time
więcej,more
twój,your
musimy,We need
lat,years
ta,this
chce,I want
możemy,we can
wszyscy,all
tobą,you
albo,or
prostu,simply
chodzi,goes
razem,together
stało,constant
mną,mine
czego,what
sam,alone
myślę,I think
pana,Mr
przed,before
boże,God
raz,once
czemu,why
będziesz,you will be
niż,than
ludzie,people
dalej,next
czym,what
was,mustache
dobry,good
przy,by
ludzi,people
dzień,day
życie,life
lepiej,better
miał,had
rzeczy,stuff
twoja,your
czasu,time
ok,okay
temu,ago
robisz,you do
myślisz,you think
kim,Who is
niech,let
które,which
oczywiście,of course
siebie,myself
niego,him
cóż,well
powiedział,he said
u,at
daj,give
moim,my
chodź,come
musi,has to
my,we
nikt,nobody
twoje,your
tych,languish
pod,under
dlatego,this is why
pewnie,sure
powiedz,Say
aby,to
wtedy,then
wygląda,look
jeden,one
mojego,my
im,them
mówi,says
dziś,today
taki,such
mieć,to have
jako,as
dwa,two
potem,later
wie,know
takie,such
nią,on her
wszystkie,all
znaczy,mean
rozumiem,I understand
dzieje,scent
moją,my
będziemy,we will
wiele,many
stąd,hence
oni,they
mojej,my
miejsce,place
iść,to go
kilka,a few
pomóc,help
dużo,A lot
ile,how much
jasne,bright
byłem,I was
swoje,own
myśli,thinks
cały,whole
skąd,from where
wiedzieć,know
dzieci,children
nich,them
która,which
wam,you
przykro,sorry
można,you can
jakieś,some
tę,these
wszystkich,all
nad,above
jakiś,some
sposób,way
trzeba,it's necessary to
mają,have
niej,it
pracy,work
kogoś,someone
tyle,so much
robić,to do
bardziej,more
mówisz,you speak
zanim,before
zbyt,too
szybko,quick
dzisiaj,today
tobie,you
takiego,such
świetnie,Great
zobaczyć,see
zaraz,in a minute
pewno,surely
miałem,I had
kocham,I love
mówię,I say
nadal,still
jaki,what
rację,race
kochanie,baby
myślałem,I thought
trzy,three
ojciec,father
ani,or
robi,do
stanie,will
tą,this
później,later
ponieważ,because
idź,go
życia,life
twoim,your
przestań,stop
sie,myself
swoją,in
chciałem,I wanted
długo,long
mamo,mamom
kiedyś,once
cholera,cholera
wciąż,still
nadzieję,hope
aż,until
będą,will
jutro,tomorrow
każdy,everyone
dni,days
problem,problem
widzę,I see
mógł,he could
stary,old
taka,such
żebyś,do
widzisz,you see
twojej,your
tato,dad
potrzebuję,need
znowu,again
kurwa,whore
dziecko,kid
nocy,night
znaleźć,to find
sama,alone
dokładnie,Exactly
dnia,day
oh,oh
pierwszy,first
czuję,I feel
pieniądze,money
powiem,will
zrobił,did
nami,us
miała,she had
twoją,your
gdyby,if
nasz,our
nasze,our
razie,present
samo,itself
były,were
dobre,good
słuchaj,listen
koniec,the end
chciał,she wanted
widziałem,I saw
jakie,what
wszystkim,all
znam,I know
wcześniej,earlier
spokój,peace
chwilę,moments
mama,mom
sobą,in
zostać,stay
został,left
wy,you
czegoś,doom
żyje,lives
mówić,to talk
bym,for
którzy,who
porozmawiać,talk
spójrz,look
roku,year
mogą,can
chciałbym,I'd like
zabić,kill
poza,apart from
dom,House
we,in
imię,name
twojego,your
lub,or
och,oh
miło,nice
którą,which
kogo,whom
sir,sir
minut,minute
jakby,as if
prawie,almost
drzwi,door
byłam,I was
jesteście,you are
posłuchaj,listen
powiedziałem,I said
powodu,reason
powinniśmy,we should
gdzieś,somewhere
końcu,end
lubię,I like
mów,talk
sprawy,issues
czekaj,wait
pomysł,idea
zrobię,I will do
wiemy,we know
wydaje,spends
byłeś,you were
razy,times
moich,my
człowiek,man
jednak,but
innego,another
dość,enough
pomocy,help
przecież,yet
panu,lady
broń,weapon
żadnych,any
noc,night
macie,you have
ciągle,Still
c,c
żebym,for
źle,badly
powiedziała,she said
facet,guy
mówiłem,I said
którego,whose
podoba,like
miejscu,place
jeżeli,if
skoro,since
ego,ego
ojca,father
powinieneś,you should
lata,years
sprawa,thing
niczego,nobody
takim,such
pamiętasz,Do you remember
sądzę,I think
właściwie,actually
dwie,two
pokoju,room
którym,which
myślałam,I thought
jedno,one
idziemy,we go
również,also
bądź,be
znasz,you know
swój,your
swojego,itself
byś,you would
chodźmy,let
nowy,new
chciałam,I wanted
pewien,a
wczoraj,yesterday
jedną,one
musiał,muster
której,which
idę,I'm going
poważnie,seriously
swoim,with his
życiu,life
rozumiesz,you understand
których,which
podczas,during
miałam,I had
oczy,eyes
rano,in the morning
sprawę,matter
wystarczy,enough
spokojnie,relax
całą,whole
telefon,Telephone
rzecz,thing
matka,mother
samochód,car
świat,world
nimi,doom
dwóch,two
pracę,work
dać,to give
byli,they were
powinienem,I should
weź,take
jedna,one
zamknij,close
the,the
mały,small
da,da
pozwól,let
całe,all
wina,fault
wiedziałem,I knew
wrócić,come back
między,between
chcą,want to
idzie,goes
śmierci,death
mówił,said
numer,number
oto,here
miejsca,places
dopóki,as long as
czujesz,you feel
cokolwiek,whatever
swojej,his
nikogo,nobody
dam,dam
powiedziałeś,you said
tłumaczenie,translation
dziewczyna,girl
najpierw,Firstly
pamiętam,I remember
powiesz,you will say
pytanie,question
inaczej,otherwise
świecie,world
znów,again
wyglądasz,you look
przynajmniej,at least
widzieć,see
prawdę,truth
zrobiłem,I did
śmierć,death
swoich,herself
halo,Hello
gdybym,if I
jednego,one
pieniędzy,money
brzmi,sound
wierzę,I believe
innych,other
trzymaj,hold
robię,I am doing
ogóle,at all
super,cool
kobiety,women
potrzebuje,need
tata,dad
pójdę,I will go
wielu,many
dokąd,where
ręce,hands
zrobiłeś,you made
miłość,love
całkiem,quite
naszej,ours
nasza,our
możliwe,possible
gra,game
prawo,law
inne,another
każdym,each
chwili,moment
kobieta,woman
jednym,one
zrób,make
ważne,important
wybacz,Sorry
żona,wife
chcemy,we want
działa,it works
byłoby,would be
także,too
słyszałem,I heard
wiedział,he knew
dziewczyny,Girls
drogi,expensive
pewna,certain
wiecie,you know
mówią,they say
cieszę,I'm happy
dopiero,only
poznać,to get to know
serce,heart
inny,other
witam,Hello
pojęcia,concepts
parę,a couple
przeciwko,against
udało,succeeded
powinien,should
została,she stayed
naszym,our
raczej,rather
wiadomość,message
pięć,bake
s,s
każdego,every
godziny,hours
plan,plan
wcale,at all
ciało,body
słowa,words
witaj,Welcome
naszego,our
mogła,she could
czasie,time
dostać,to receive
nowego,new
czymś,on
stać,be
oznacza,means
jaką,what
naszych,our
patrz,Look
czyli,that is
twoich,your
człowieka,human
czasem,sometimes
dziwne,weird
żyć,lives
zostaw,leave
zabrać,take
żadnego,any
cholery,cholera
ostatnio,lately
rodziny,families
ciężko,hard
martw,worry
miałeś,you had
rozmawiać,to talk
rób,do
ziemi,land
nazywa,call
panowie,gentlemen
bóg,God
widziałam,I saw
szczęście,luck
syn,son
takich,such
sprawie,case
zabił,killed
powrotem,back
możecie,you can
godzin,hours
potrzebujemy,We need
diabła,devil
panią,lady
powinnaś,you should
ostatni,last
zrobimy,we will do
mąż,husband
wyjść,exit
krwi,blood
szkoły,school
nieźle,not bad
syna,son
natychmiast,immediately
słucham,I'm listening
mieliśmy,we had
taką,such
wszystkiego,all
widziałeś,you've seen
serio,seriously
policja,Police
chciała,she wanted
zrobisz,do
byliśmy,We were
radę,council
zgadza,agree
one,they
czasami,sometimes
końca,end
idziesz,you go
zostanie,will
powinnam,should
byłaś,you were
mogłem,I could
drodze,road
mieli,they had
najbardziej,the most
pomoc,help
jaka,what
cztery,four
john,john
strony,pages
część,part
należy,belongs
jack,jack
kimś,in
głowy,head
brat,brother
zobaczenia,see
blisko,near
zaczekaj,Wait
powiedziałam,I said
uwierzyć,believe
skarbie,Honey
zły,bad
naszą,our
wieczór,evening
dolarów,dollars
twarz,face
zostało,left
świata,world
cała,whole
potrzebujesz,you need
środku,middle
pokój,room
innym,other
obchodzi,care
spotkanie,meeting
chcecie,you want
gotowy,ready
doktorze,doctors
temat,topic
wielki,large
uważaj,be careful
daleko,far
pół,half
ode,from
uda,thighs
dr,drum
chociaż,though
kiedykolwiek,whenever
rok,year
lecz,but
miasta,cities
d,d
poczekaj,wait
robota,job
racja,right
człowiekiem,human
wieczorem,in the evening
zależy,it depends
dobranoc,good night
późno,late
chciałabym,I would like
mógłbym,I could
krew,blood
gdybyś,you were
wziąć,to take
lubi,likes
słowo,word
powinno,should
zewnątrz,outside
nowe,new
rodzina,family
wspaniale,excellent
mówiąc,say
stronie,side
miesięcy,monthly
głowę,head
robimy,do
znalazłem,I found
lubisz,do you like
mniej,less
wrócę,come back
wejść,entrance
wypadek,accident
pierwsze,first
szybciej,faster
tydzień,week
chłopaki,boys
nieważne,does not matter
pójść,go
praca,Work
czeka,waiting
zobaczymy,we'll see
taa,taa
szansę,chances
wiedziałam,I knew
widział,seen
wody,water
dawaj,come on
zna,know
mała,little
jezu,Jesus
zrobi,do
pracować,work
moi,my
serca,hearts
jakoś,somehow
złe,badly
chwila,one SEC
prawa,laws
sądzisz,you think
według,according to
spotkać,meet
kapitanie,captain
zupełnie,quite
sprawdzić,to check
mogli,they could
ojcem,father
you,you
boga,god
okej,okay
wspólnego,shared
mówiłeś,you said
mieście,city
robią,do
chłopak,boy
jechać,to go
prawdopodobnie,probably
doktor,doctor
spać,to sleep
pracuje,works
zdjęcia,photos
wasza,yours
uwagę,attention
myśleć,think
mówiłam,I said
znać,know
t,t
ciała,body
mógłbyś,you could
problemy,problem
okay,okay
film,movie
gotowa,ready
tymi,forth
zdjęcie,picture
pogadać,talk
brak,lack
powiedziałaś,you told
wiedzą,knowledge
dał,gave
małe,small
pomoże,help
ponad,above
mało,little
kilku,a few
koleś,dude
wkrótce,soon
rękę,hand
razu,once
mógłby,could
ostatnie,last
miasto,city
zrobiła,she did
przyjaciół,friends
stronę,direction
góry,mountains
nazwisko,name
wami,you
pa,pa
całym,All
drogę,way
wystarczająco,enough
zatrzymać,stop
droga,way
niemożliwe,impossible
jakąś,some
mike,mike
odejść,go
broni,weapon
zmienić,to change
wszędzie,everywhere
prosto,straight
rodzice,parents
początku,beginning
policji,police
nagle,suddenly
drugi,second
brata,brother
przyjaciel,friend
wielkie,big
człowieku,Man
choć,though
samego,alone
muszą,must
często,often
dziecka,child
pomóż,help
dobrym,good
kłopoty,troubles
nazywam,My name is
większość,majority
zacząć,start
roboty,robots
zaczyna,starting
żaden,no
pozwolić,to let
matki,mother
miłości,love
trudno,hard
błąd,mistake
drugiej,second
głowie,head
dziewczynę,girl
pokaż,show
córka,daughter
godzinę,hour
michael,michael
żadnej,any
jedynie,only
szkole,School
pierwsza,first
musiałem,I had to
wracaj,come back
szkoda,pity
george,George
siostra,sister
zapomnij,forget
pomyślałem,I thought
słyszysz,you hear
ponownie,again
przyszedł,came
całkowicie,fully
charlie,charlie
zamiast,instead
trzymać,keep
musicie,must
czuje,I feel
gówno,shit
trzech,three
rady,advice
dowiedzieć,learn
jakaś,some
obiecuję,I promise
osób,persons
niestety,Unfortunately
zadzwonić,call
samochodu,car
czekać,wait
zatem,therefore
jakim,which
miało,was supposed to
piękna,beautiful
oraz,and
zostań,stay
rany,wounds
jedziemy,we drive
dasz,give
kraju,country
zrobiłam,I did
zostawić,to leave
historia,history
mimo,despite
zobacz,look
głupi,stupid
nowym,new
faceta,man
dawno,long time ago
pokazać,show
widzenia,vision
rodzinę,family
obok,next to
jednej,one
powie,will
sami,themselves
przykład,example
tygodniu,weekly
chciałeś,you wanted
dłużej,longer
ruszaj,go
oboje,both
dół,hole
najlepszy,best
wróci,return
odkąd,since
musiała,well
zabawne,funny
górę,hill
frank,franc
łatwo,easy
uważam,I think
będziecie,you will
wieku,age
mówiła,she said
joe,Joe
synu,son
chłopcy,boys
złego,bad
niczym,like
męża,husband
sporo,a lot
popatrz,look
inni,others
szefie,boss
środka,measure
znaleźliśmy,we found
samym,alone
pewnego,certain
pracuję,works
panno,pan
zajmę,occupied
zamierzam,I intend to
istnieje,exists
uważasz,you think
okazji,occasion
moment,moment
takiej,such
spróbuj,try
znajdziemy,we find
osobą,person
nikomu,nobody
kupić,to buy
sześć,six
gość,guest
niby,kind of
spróbować,try
póki,long
cicho,quiet
zła,bad
jakiegoś,some
uh,uh
wezmę,I'll take
walczyć,fight
wiadomości,messages
prawdziwe,real
niedługo,soon
ciągu,string
żonę,wife
tom,volume
fbi,FBI
boję,afraid
strasznie,terribly
wasze,yours
historii,story
dziewczyną,girl
powinna,She should
nowa,new
wrócił,return
mężczyzna,man
gotowi,ready
głos,voice
około,about
boli,hurt
zwykle,usually
następnym,next
powodzenia,good luck
słyszałeś,did you hear
widać,can be seen
bracie,brother
kocha,love
pewnością,certainly
leci,flies
znajdę,I will find
zająć,Hare
zadzwonię,I will call
szczerze,honestly
dzieckiem,baby
najlepsze,best
korekta,adjustment
przyjdzie,will come
próbuję,try
panem,master
szpitala,hospital
tędy,this way
daje,gives
słyszałam,I heard
myśl,thought
statek,ship
miałaś,You had
najlepiej,best
ludźmi,people
wracam,come back
pytania,questions
wracać,return
powód,reason
zrobiłaś,you made
kobietą,woman
prawdziwy,TRUE
mogłam,I could
seks,sex
kolejny,next
pasuje,it suits
jedzenie,food
nienawidzę,I hate
przysięgam,swear
umrzeć,die
proste,simple
ulicy,street
przyjacielem,friend
czyż,do
znalazł,found
nigdzie,nowhere
zostały,left
włosy,hair
ojcze,father
same,themselves
twarzy,face
tysięcy,thousands
zamiar,intention
ludziom,people
przestać,stop
zadzwoń,call
przyjaciele,Friends
mieszka,lives
pewny,sure
zabierz,take
kolację,dinners
wieści,news
stan,state
ziemię,Earth
powstrzymać,stop
żartujesz,you are kidding
nogi,legs
kochasz,you love
grać,play
sądzie,court
uwielbiam,I adore
każdej,every
osoba,person
robił,did
potrafię,I can
przyjaciółmi,friends
dobrego,good
zrozumieć,understand
mogłeś,you could
wyboru,choice
spokoju,tranquility
piękne,beautiful
y,yard
fajnie,cool
trudne,hard
cel,objective
james,james
biura,offices
henry,henry
słyszę,hear
świetny,great
tygodni,weeks
przyjść,come
wolno,slow
żony,wives
mocno,tightly
znaczenia,meanness
uciec,escape
tyłu,so many
żoną,wife
widziałaś,you saw
and,and
informacje,information
zapytać,ask
hey,hey
poszedł,gone
osoby,persons
młody,young
musieli,they had to
obawiam,afraid
tacy,tray
otwórz,open
bogu,god
gościa,guest
matką,mother
odpowiedź,answer
niektórzy,some
związek,relationship
centrum,center
pierwszym,first
pytań,questions
szukam,I'm looking for
jakbym,as if
chwileczkę,waiter
tygodnie,weeks
zabiję,kill
samej,alone
wreszcie,at last
m,m
policję,police
moglibyśmy,we could
chodziło,it was
poszło,gone
szczęśliwy,lucky
więzienia,prisons
mnóstwo,lots of
chodźcie,come
wiedziała,she knew
pozwolę,let
hotelu,hotel
żebyśmy,for us
stój,stall
części,part
nieprawda,not true
reszta,rest
gry,games
uspokój,calm
kapitan,captain
lepsze,better
jedyną,only
stoi,standing
niesamowite,awesome
sensu,mean
ból,ache
ślub,wedding
duży,big
wojny,war
dajcie,give
resztę,remnant
związku,compound
przyjaciela,friend
dostał,He get
uważa,thinks
list,letter
wielka,huge
nową,new
następny,next
rodziców,parents
jakiego,wherever
pewne,certain
dobrą,Okay
ktokolwiek,anyone
martwić,worry
sekund,second
david,david
łóżka,bed
zobaczysz,you will see
górze,Mountain
przyszłość,future
szukać,look for
ciekawe,interesting
wasz,yours
szansa,chance
facetem,guy
dostałem,I got
ach,Ah
cie,you
prezent,gift
dr.,dr.
mocy,power
peter,peter
mary,mary
jorku,york
częścią,part
zaczął,began
dostaniesz,you will get
kobietę,woman
mowy,speech
tony,tons
sytuacji,situation
jedynym,sole
chronić,protect
ben,Ben
jimmy,jimmy
światło,light
zajmie,occurs
twoi,your
los,Moose
potrafi,can
pomogę,help
zobaczę,I'll see
szpitalu,hospital
własne,own
skończy,finish
wysoki,high
ofiary,victim
morderstwo,murder
pójdzie,will
pomiędzy,between
małą,little
szef,boss
uwaga,attention
pójdziesz,you will go
dna,gout
obiad,lunch
jane,jane
dowód,proof
mogło,could
zdanie,opinion
próbował,tried
kobiet,women's
skończyć,end
coraz,getting
całej,across
chcieli,They wanted
miesiąc,month
nieco,little
system,system
ruszać,move
zamierzasz,you intend
widzi,see
wybór,choice
martwy,dead
lepszy,better
jakbyś,somewhat
zjeść,eat
znalazłam,I found
wokół,on
dzieciak,child
patrzeć,look
max,max
wspaniałe,wonderful
usiądź,sit down
wierzysz,you believe
historię,story
zabije,kill
słuchać,to listen
jedyne,only
danny,Danny
siły,forces
próbowałem,I tried
spoko,cool
jedyny,only
próbuje,try
gotowe,finished
usłyszeć,hear
robotę,job
staram,try
alex,Alex
odpowiedzi,answers
jedź,go
zatrzymaj,stop
stara,old
pamiętaj,remember
komuś,on
jeść,eat
wow,wow
niezły,good
byłby,would
drugą,second
pójdziemy,we go
miły,nice
milionów,millions
miesiące,months
tyłek,butt
stylu,style
zbrodni,crime
owszem,yes
uratować,save
wypadku,accident
robicie,do
prosić,ask
duże,large
drugie,second
interes,business
telefonu,telephone
ciąży,pregnancy
córkę,daughter
ostatniej,last
wiedziałeś,you knew
najwyraźniej,obviously
przejść,pass
ogień,fire
sen,dream
jadę,go
pomyśl,idea
celu,target
więzieniu,prison
powiedzieli,they said
ależ,alleys
chłopaka,boy
yeah,yeah
spraw,make it happen
oko,eye
moc,power
pies,dog
jakimś,some
pracujesz,you work
wejdź,go
brakuje,missing
paul,paul
przyjęcie,adoption
rodziną,family
sprawdź,check
otworzyć,open
znajdziesz,You will find
przyszedłem,I came
dzieciaki,kids
zdobyć,to win
wcześnie,early
mówiłaś,you talked
mogłabym,I could
ostatnia,final
wielkiego,big
harry,Harry
użyć,use
firmy,companies
gorzej,worse
potrzeba,need
wstawaj,get up
informacji,information
stamtąd,from there
adres,address
dosyć,enough
drinka,drink
samą,alone
jedyna,only
światła,light
głupie,stupid
wspaniały,Excellent
biurze,office
matkę,mother
osobiście,personally
patrzcie,Look
rodzaju,type
psa,dog
zrobili,did
pobliżu,nearby
spotkamy,we'll meet
samochodzie,car
zasady,rules
dole,bottom
kolego,my friend
myślą,think
wyjaśnić,to explain
piękny,beautiful
zespół,team
problemu,problem
boisz,boo
śmieszne,funny
pierwszą,first
atak,attack
gratulacje,congratulations
buty,shoes
program,program
poproszę,Please
dziesięć,ten
ładnie,nicely
pracował,work
wychodzi,coming out
szczęśliwa,happy
pokażę,I will show
puść,let go
siedzieć,sit
mózgu,brain
laboratorium,lab
codziennie,daily
klucz,key
prowadzi,leading
załatwić,settle
tommy,tommy
miłe,nice
it,IT
mieszkanie,apartment
wolę,I prefer
bycie,being
byśmy,we would
wiadomo,know
bezpieczeństwa,safety
zgadzam,agree
pierwszej,first
zostanę,I will stay
pomyślałam,I thought
zdecydowanie,definitely
słuchajcie,listen
zabiłeś,you killed
zabrał,took
siostry,sister
woda,water
nauczyć,learn
siadaj,sit down
powiedzenia,Proverbs
uczucie,feeling
znajdzie,find
chłopiec,boy
złapać,to catch
najlepszym,best
zostawił,he left
koło,wheel
piwo,beer
każda,each
przyszłości,future
siedem,seven
wyszedł,left
zamknąć,close
pozbyć,get rid of
abyś,do
tuż,next door
potrafisz,you can
zniszczyć,destroy
umarł,died
budynku,building
zajęty,occupied
statku,ship
ślady,traces
wolny,free
początek,beginning
rodzinie,family
łóżku,bed
dowody,evidence
potrzebował,needed
dziękujemy,thank you
podobno,supposedly
naprawić,to fix
me,ME
minuty,minute
nick,nickname
córki,daughters
znajdź,find
powoli,slowly
przyznać,admit
wyjdzie,come out
wielkim,big
życiem,life
książki,books
świetna,great
jedzenia,food
całego,whole
jaja,egg
kawę,coffee
damy,ladies
zostaniesz,You'll stay
lekarza,doctor
dala,far
wojna,war
wielką,huge
pora,time
urodziny,birthday
odebrać,to pick up
kolejne,next
martwi,dead
badania,tests
król,King
mogłabyś,you could
stał,steel
wobec,to
zeszłym,last
straszne,horrible
jakiej,what
prawdziwa,TRUE
ostrożnie,carefully
amy,amber
wierzyć,believe
dane,data
świetne,great
wysokość,height
znamy,we know
innymi,other
pięknie,beautifully
bob,broad bean
plany,plans
własną,own
musiałam,I had to
ruch,motion
doskonale,excellent
druga,second
niezła,bad
zginął,died
zapomnieć,forget
chłopcze,boy
steve,steve
przede,primarily
znak,sign
samolot,plane
weekend,weekend
znalazłeś,you found
kuchni,cuisine
zróbmy,let
zwłaszcza,especially
gości,guests
billy,billy
kawałek,piece
przyszła,she came
chory,ill
przyjacielu,friend
dziwnie,strangely
twierdzi,claims
słychać,hear
przygotować,to prepare
chciałaś,you wanted
zaczynamy,we start
detektyw,detective
wśród,among
jim,jim
kończy,end
jake,Jake
dwoje,two
witamy,Welcome
ray,ray
zadanie,task
względu,subsequently
synem,son
wodę,water
poczekać,wait
znaleźli,they found
imieniu,named
lunch,lunch
odzyskać,to regain
em,EM
oprócz,apart from
don,don
of,of
podaj,give
założę,assumption
chodzić,go
momencie,moment
święta,holidays
zapomniałem,I forgot
kawy,coffee
nazywasz,you call
szuka,search
rozmawialiśmy,we talked
dałem,I gave
moimi,mine
latach,years
raport,report
fakt,fact
młoda,young
mamą,mom
panna,Virgin
ostatnim,last
poszła,She went
lee,Lee
oddać,give back
listy,letters
różne,various
wyglądam,I look
przysługę,a favor
kości,bones
rana,wound
szczęścia,luck
zobaczmy,Let's see
zdaje,pass
lekarz,doctor
czuć,feel
kraj,country
morderstwa,murder
chciałbyś,you would like to
zgodnie,according
każdą,each
wrażenie,impression
zostałem,I stayed
sprawia,makes
zrozumiałem,I understood
przeciw,against
wyjścia,exit
trzyma,hold
pierwszego,first
krok,step
wyniki,results
żyjesz,you live
bierz,torn
wygrać,win
grę,game
rząd,government
chciałby,would like
rozmowy,conversation
rozkaz,order
podróż,journey
dawna,former
agent,agent
rozmowę,conversation
śniadanie,breakfast
doceniam,I appreciate
aaccff,aaccff
jedzie,go
zabiłem,I killed
przychodzi,comes
sytuacja,situation
usiąść,sit down
zmieni,change
grupa,group
wziął,incur
decyzję,decisions
iż,that
powinni,they should
wrócisz,you will come back
will,will
udział,participation
ognia,fire
szukamy,We are looking
miłego,nice
chryste,Christ
uciekaj,run away
mężczyzn,men
niektóre,some
możliwości,possibilities
kate,kate
chętnie,gladly
wraca,return
brać,to take
głupia,stupid
błagam,beggar
zapłacić,pay
bill,bill
e,e
biuro,office
odejdź,Go away
kolej,rail
mówimy,we talk
stare,old
dostanie,get
la,la
dumny,proud
liczy,count
kasę,cash
miałbym,I would have
żyją,live
in,in
nowych,new
prawdy,truth
cudownie,wonderfully
nasi,our
szukasz,you are looking
prezydent,President
wydarzyło,happened
idźcie,go
pomaga,help
siedzi,sit
juz,done
johnny,johnny
dzwonił,he called
problemów,problem
kontakt,contact
napisy,Subtitles
zrobiliśmy,we did
karty,card
decyzja,decision
spójrzcie,look
sygnał,signal
listę,list
inną,other
zmienia,change
rozumie,understands
komu,whom
rozmawiałem,I was talking
niezłe,not bad
osiem,eight
książkę,book
słońce,Sun
gotów,ready
sens,meaning
słów,words
mężczyzną,man
dostanę,I will get
ochrony,protection
pory,pores
spojrzeć,look
ochotę,fancy
najlepsza,best
potrzebny,necessary
zabawy,funny
króla,king
rzeczywiście,actually
żart,joke
przypadku,case
rodzaj,type
niewiele,few
stracić,lose
działać,work
tamtej,that
dziękuje,thank you
niebezpieczne,dangerous
szefem,chief
okno,window
wyglądają,look
bobby,bobby
uwagi,comments
uczucia,feelings
fscy100,FScy100
zostaje,bey
obraz,image
zazwyczaj,usually
lekarzem,doctor
najlepszego,best
czekam,I'm waiting
gadać,talk
podać,to give
leży,lies
rachel,rachel
otwarte,Open
zaczynam,I start
widzimy,we see
zastanawiam,I'm thinking
wyjdź,come out
zacznie,willing
poradzę,I can handle
inna,other
wybaczyć,forgive
kochać,love
przekonać,to convince
fscx100,FSCX100
swego,in
dowie,find out
wynoś,greater
głowa,head
dziećmi,children
obaj,both
umrze,die
warto,worth
kazał,order
oddaj,give away
taty,daddy
wybrać,to choose
zdrowie,health
wiec,so
opuścić,leave
okolicy,area
pomożesz,you will help
zimno,cold
chwilkę,tender
przypadek,case
test,test
wyprawiasz,do
liście,leaves
ostatnią,final
ilu,how many
obie,both
widzicie,you see
waszej,yours
obu,both
nazwiska,names
niespodzianka,surprise
doczekać,wait
wysłać,send
dobrej,good
